PC-QUANPHAM$,forum.camunda.org,2021-03-30,0,1
PC-QUANPHAM$,r5---sn-8qj-nbole.googlevideo.com,2021-03-30,2,1
PC-QUANPHAM$,ib.adnxs.com,2021-03-31,1,2
PC-QUANPHAM$,ap.lijit.com,2021-03-31,0,2
PC-QUANPHAM$,analytics.vdo.ai,2021-03-30,1,1
PC-QUANPHAM$,kipalog.com,2021-03-30,0,1
PC-QUANPHAM$,h.vdo.ai,2021-03-30,1,1
PC-QUANPHAM$,shb.richaudience.com,2021-03-30,2,1
PC-QUANPHAM$,ww1097.smartadserver.com,2021-03-30,2,1
PC-QUANPHAM$,track.vdo.ai,2021-03-30,1,1
PC-QUANPHAM$,dt.adsafeprotected.com,2021-03-30,2,1
PC-QUANPHAM$,c.tmyzer.com,2021-03-30,2,1
PC-QUANPHAM$,ups.analytics.yahoo.com,2021-03-30,3,1
PC-QUANPHAM$,e3.adpushup.com,2021-03-30,4,1
PC-QUANPHAM$,s3-ap-southeast-1.amazonaws.com,2021-03-30,2,1
PC-QUANPHAM$,github.com,2021-03-30,14,6
PC-QUANPHAM$,i.ytimg.com,2021-03-31,0,2
PC-QUANPHAM$,secure.adnxs.com,2021-03-31,6,2
PC-QUANPHAM$,bid.g.doubleclick.net,2021-03-31,6,2
PC-QUANPHAM$,sync.mathtag.com,2021-03-31,0,2
PC-QUANPHAM$,cc.adingo.jp,2021-03-31,6,2
PC-QUANPHAM$,edge.skype.com,2021-03-31,0,2
PC-QUANPHAM$,google.com.vn,2021-03-31,6,2
PC-QUANPHAM$,sync.1rx.io,2021-03-31,0,2
PC-QUANPHAM$,bidder.criteo.com,2021-03-31,6,2
PC-QUANPHAM$,trc.taboola.com,2021-03-31,6,2
PC-QUANPHAM$,dsum-sec.casalemedia.com,2021-03-31,6,2
PC-QUANPHAM$,s3.prod.now.vn,2021-03-31,2,2
PC-QUANPHAM$,yt3.ggpht.com,2021-03-31,6,2
PC-QUANPHAM$,ssum-sec.casalemedia.com,2021-03-31,6,2
PC-QUANPHAM$,ad.turn.com,2021-03-31,6,2
PC-QUANPHAM$,gappapi.tablenow.vn,2021-03-31,6,2
PC-QUANPHAM$,ib.3lift.com,2021-03-31,6,2
PC-QUANPHAM$,idsync.rlcdn.com,2021-03-31,6,2
PC-QUANPHAM$,jsonip.com,2021-03-31,6,2
PC-QUANPHAM$,pixel.rubiconproject.com,2021-03-31,0,2
PC-QUANPHAM$,quantcast.mgr.consensu.org,2021-03-31,6,2
PC-QUANPHAM$,www.now.vn,2021-03-31,0,2
PC-QUANPHAM$,ads.pubmatic.com,2021-03-31,1,2
PC-QUANPHAM$,cdn.fbsbx.com,2021-03-31,6,2
PC-QUANPHAM$,adx.adform.net,2021-03-30,2,1
PC-QUANPHAM$,camo.githubusercontent.com,2021-03-30,3,1
PC-QUANPHAM$,ec-ns.sascdn.com,2021-03-30,2,1
PC-QUANPHAM$,node.setupad.com,2021-03-30,0,1
PC-QUANPHAM$,pixel.advertising.com,2021-03-30,3,1
PC-QUANPHAM$,pixel.rubiconproject.com,2021-03-30,0,1
PC-QUANPHAM$,adrta.com,2021-03-30,3,1
PC-QUANPHAM$,ads.themoneytizer.com,2021-03-30,0,1
PC-QUANPHAM$,cdn.flashtalking.com,2021-03-30,0,1
PC-QUANPHAM$,cds.taboola.com,2021-03-30,1,1
PC-QUANPHAM$,mp.4dex.io,2021-03-30,2,1
PC-QUANPHAM$,trc-events.taboola.com,2021-03-30,0,1
PC-QUANPHAM$,video.fdad2-1.fna.fbcdn.net,2021-03-30,0,1
PC-QUANPHAM$,ads.us.e-planning.net,2021-03-30,2,1
PC-QUANPHAM$,alvinalexander.com,2021-03-30,0,1
PC-QUANPHAM$,examples.javacodegeeks.com,2021-03-30,1,1
